datetime,open,high,low,close,volume,symbol
2024-11-25 00:00:00+00:00,11721.9501953125,11766.1796875,11666.3095703125,11678.58984375,44494100,^SSMI
2024-11-26 00:00:00+00:00,11609.919921875,11690.900390625,11590.669921875,11632.8798828125,24834800,^SSMI
2024-11-27 00:00:00+00:00,11630.169921875,11653.259765625,11583.009765625,11644.009765625,20451000,^SSMI
2024-11-28 00:00:00+00:00,11669.6103515625,11723.900390625,11644.6103515625,11709.7998046875,14284500,^SSMI
2024-11-29 00:00:00+00:00,11697.8896484375,11764.2001953125,11658.08984375,11764.2001953125,22907000,^SSMI
2024-12-02 00:00:00+00:00,11725.01953125,11862.41015625,11723.6103515625,11829.240234375,21184700,^SSMI
2024-12-03 00:00:00+00:00,11838.25,11875.3095703125,11799.4599609375,11834.3203125,23267800,^SSMI
2024-12-04 00:00:00+00:00,11809.8203125,11828.3603515625,11753.2802734375,11783.6103515625,21927100,^SSMI
2024-12-05 00:00:00+00:00,11799.4697265625,11816.25,11755.740234375,11790.7900390625,21228600,^SSMI
2024-12-06 00:00:00+00:00,11764.8701171875,11808.8701171875,11747.8798828125,11780.650390625,19270900,^SSMI
2024-12-09 00:00:00+00:00,11826.400390625,11829.08984375,11740.16015625,11761.7197265625,20386600,^SSMI
2024-12-10 00:00:00+00:00,11735.5595703125,11740.83984375,11642.3896484375,11642.3896484375,25998100,^SSMI
2024-12-11 00:00:00+00:00,11618.849609375,11695.8701171875,11618.7197265625,11681.8701171875,25141300,^SSMI
2024-12-12 00:00:00+00:00,11676.6396484375,11783.7802734375,11652.490234375,11715.849609375,24959200,^SSMI
2024-12-13 00:00:00+00:00,11706.5595703125,11736.2802734375,11669.2900390625,11694.4296875,19436700,^SSMI
2024-12-16 00:00:00+00:00,11677.099609375,11708.8603515625,11644.5302734375,11701.509765625,24324900,^SSMI
2024-12-17 00:00:00+00:00,11652.759765625,11744.2802734375,11622.5498046875,11740.51953125,23325000,^SSMI
2024-12-18 00:00:00+00:00,11706.599609375,11707.1298828125,11636.7900390625,11638.91015625,26820000,^SSMI
2024-12-19 00:00:00+00:00,11474.419921875,11497.5703125,11387.7197265625,11414.83984375,31628100,^SSMI
2024-12-20 00:00:00+00:00,11293.26953125,11394.3701171875,11248.400390625,11384.919921875,76186000,^SSMI
2024-12-23 00:00:00+00:00,11382.91015625,11497.7099609375,11362.6796875,11488.2802734375,15038800,^SSMI
2024-12-27 00:00:00+00:00,11513.3798828125,11597.2900390625,11484.759765625,11589.33984375,15853800,^SSMI
2024-12-30 00:00:00+00:00,11578.6103515625,11633.5703125,11538.669921875,11600.900390625,15536600,^SSMI
2025-01-03 00:00:00+00:00,11642.6298828125,11663.6396484375,11570.1298828125,11624.01953125,25656200,^SSMI
2025-01-06 00:00:00+00:00,11652.7998046875,11691.1298828125,11584.669921875,11691.1298828125,24983300,^SSMI
2025-01-07 00:00:00+00:00,11694.3798828125,11830.76953125,11665.9501953125,11830.76953125,24728700,^SSMI
